time,thetao
2020-10-01,28.865871
2020-11-01,28.918455
2020-12-01,28.175169
2021-01-01,27.654116
2021-02-01,27.616673
2021-03-01,28.784271
2021-04-01,29.868717
2021-05-01,30.491163
2021-06-01,29.558458
2021-07-01,29.014389
2021-08-01,28.612062
2021-09-01,28.593254
2021-10-01,28.912886
2021-11-01,28.641571
2021-12-01,28.122375
2022-01-01,27.66922
2022-02-01,27.558193
2022-03-01,28.56255
2022-04-01,30.100933
2022-05-01,30.161451
2022-06-01,29.548498
2022-07-01,28.65478
2022-08-01,28.250933
2022-09-01,28.493204
2022-10-01,28.774761
2022-11-01,28.713167
2022-12-01,28.131666
2023-01-01,27.42038
2023-02-01,27.51495
2023-03-01,28.625965
2023-04-01,30.034166
2023-05-01,30.62596
2023-06-01,30.052088
2023-07-01,28.975292
2023-08-01,28.91535
2023-09-01,29.114777
2023-10-01,29.521574
2023-11-01,29.477032
2023-12-01,28.686728
2024-01-01,28.108093
2024-02-01,28.261988
2024-03-01,28.874886
2024-04-01,30.41304
2024-05-01,31.05174
2024-06-01,30.055048
2024-07-01,29.193
2024-08-01,28.850103
2024-09-01,28.903938
2024-10-01,29.39713
2024-11-01,29.392525
2024-12-01,28.42087
2025-01-01,27.727581
2025-02-01,27.738846
2025-03-01,29.037094
2025-04-01,29.996271
2025-05-01,30.402481
2025-06-01,29.673187
2025-07-01,28.837055
2025-08-01,28.457354
2025-09-01,28.603931
2025-10-01,28.946648
2025-11-01,28.650805
2025-12-01,27.989403
2026-01-01,27.446922
2026-02-01,27.543127
